         434864648 function calls (411668625 primitive calls) in 430.676 seconds

   Ordered by: cumulative time
   List reduced from 3646 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20505    0.032    0.000    2.772    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/constant_op.py:166(constant)
    11938    0.124    0.000    2.768    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/graph_only_ops.py:29(graph_placeholder)
    20505    0.128    0.000    2.740    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/constant_op.py:267(_constant_impl)
     7680    0.071    0.000    2.727    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/distribute/distribute_lib.py:2233(update)
  2982684    1.669    0.000    2.710    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/reportviews.py:778(<lambda>)
   804985    2.440    0.000    2.707    0.000 {built-in method builtins.max}
      226    0.002    0.000    2.668    0.012 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/engine/sequential.py:352(call)
      226    0.001    0.000    2.645    0.012 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/engine/functional.py:367(call)
      226    0.011    0.000    2.645    0.012 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/engine/functional.py:464(_run_internal_graph)
        2    0.001    0.000    2.637    1.318 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/while_v2.py:581(_create_grad_func)
       16    0.000    0.000    2.625    0.164 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/engine/training.py:2581(_list_functions_for_serialization)
     9841    0.041    0.000    2.615    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/func_graph.py:644(_capture_helper)
   870760    1.198    0.000    2.506    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/random.py:224(_randbelow)
     8646    0.043    0.000    2.473    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/func_graph.py:1123(_create_substitute_placeholder)
        2    0.000    0.000    2.468    1.234 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/while_v2.py:622(<lambda>)
